uid	SPScenario	Choice	DrvLic	PblcTrst	AgeGrp	Empl	Edu	Nveh	Nadlt	Nchld	Income	Car_Cost	CarRental_Cost	Bus_Cost	Plane_Cost	Train_Cost	TrH_Cost	Car_TT	CarRental_TT	Bus_TT	Plane_TT	Train_TT	TrH_TT	CarRelib	CarRentalRelib	BusRelib	PlaneRelib	TrainRelib	TrHRelib	AV_Car	AV_CarRental	AV_Bus	AV_Plane	AV_Train	AV_TrH	
1483	1	5	1	1	2	2	2	0	0	0	2	1.18	2.85	0.64	2.5	0.92	1.25	7.750	7.750	11.167	5.100	11.750	11.667	0	0	0	0	0	0	1	1	1	1	1	1	
1484	2	5	1	1	2	2	2	0	0	0	2	1.3	2.31	0.8	2	0.74	1.5	7.000	8.500	10.167	5.367	9.117	12.717	0.85	0.85	0.85	0.85	0.85	0.9	1	1	1	1	1	1	
1485	3	5	1	1	2	2	2	0	0	0	2	1.65	1.78	1	1.6	1.15	1.75	8.500	7.000	12.167	4.850	14.367	14.283	0.9	0.75	0.6	0.9	0.75	0.95	1	1	1	1	1	1	
1486	1	4	1	1	1	0	1	1	2	0	3	1.18	2.85	0.8	2.5	0.74	1.5	7.750	7.000	11.167	4.850	9.117	12.717	0	0	0	0	0	0	1	1	1	1	1	1	
1487	2	4	1	1	1	0	1	1	2	0	3	1.65	1.78	0.64	2	0.92	1.25	8.500	8.500	12.167	5.100	11.750	11.667	0.85	0.9	0.85	0.9	0.9	0.95	1	1	1	1	1	1	
1488	3	2	1	1	1	0	1	1	2	0	3	1.3	2.31	1	1.6	1.15	1.75	7.000	7.750	10.167	5.367	14.367	14.283	0.9	0.85	0.75	0.85	0.85	0.9	1	1	1	1	1	1	
1489	1	5	1	0	2	2	0	2	2	0	2	0.74	1.65	0.43	0	0	1.5	6.667	7.083	18.033	0.000	0.000	12.167	0	0	0	0	0	0	1	1	1	0	0	1	
1490	3	5	1	0	2	2	0	2	2	0	2	0.94	2.03	0.67	0	0	1.8	7.500	6.667	11.283	0.000	0.000	13.267	0.85	0.75	0.6	0	0	0.9	1	1	1	0	0	1	
1491	2	5	1	0	2	2	0	2	2	0	2	0.67	1.27	0.54	0	0	2.1	7.083	7.500	14.667	0.000	0.000	14.917	0.9	0.85	0.75	0	0	0.95	1	1	1	0	0	1	
1492	1	0	1	0	2	0	2	2	2	1	3	0.74	1.27	0.67	0	0	1.5	7.500	7.083	18.033	0.000	0.000	12.167	0	0	0	0	0	0	1	1	1	0	0	1	
1493	3	0	1	0	2	0	2	2	2	1	3	0.67	2.03	0.43	0	0	2.1	6.667	6.667	11.283	0.000	0.000	14.917	0.75	0.9	0.6	0	0	0.9	1	1	1	0	0	1	
1494	2	0	1	0	2	0	2	2	2	1	3	0.94	1.65	0.54	0	0	1.8	7.083	7.500	14.667	0.000	0.000	13.267	0.9	0.75	0.85	0	0	0.99	1	1	1	0	0	1	
1495	3	5	1	1	1	0	1	0	1	1	1	1.18	2.31	0.8	2.5	0.92	1.75	7.000	8.500	10.167	5.100	11.750	14.283	0.9	0.9	0.85	0.85	0.75	0.99	1	1	1	1	1	1	
1496	1	5	1	1	1	0	1	0	1	1	1	1.65	2.85	0.64	2	1.15	1.5	8.500	7.000	12.167	4.850	14.367	12.717	0	0	0	0	0	0	1	1	1	1	1	1	
1497	2	5	1	1	1	0	1	0	1	1	1	1.3	1.78	1	1.6	0.74	1.25	7.750	7.750	11.167	5.367	9.117	11.667	0.85	0.85	0.75	0.9	0.85	0.9	1	1	1	1	1	1	
1498	1	5	1	1	3	0	1	1	0	0	3	0.94	2.03	0.43	0	0	1.5	6.667	6.667	11.283	0.000	0.000	12.167	0	0	0	0	0	0	1	1	1	0	0	1	
1499	2	5	1	1	3	0	1	1	0	0	3	0.74	1.27	0.67	0	0	2.1	7.500	7.500	14.667	0.000	0.000	14.917	0.85	0.75	0.85	0	0	0.9	1	1	1	0	0	1	
1500	3	5	1	1	3	0	1	1	0	0	3	0.67	1.65	0.54	0	0	1.8	7.083	7.083	18.033	0.000	0.000	13.267	0.9	0.85	0.6	0	0	0.95	1	1	1	0	0	1	
1501	2	5	1	0	1	0	0	2	2	0	3	0.94	1.65	0.43	0	0	1.8	6.667	7.083	18.033	0.000	0.000	13.267	0.85	0.9	0.6	0	0	0.9	1	1	1	0	0	1	
1502	1	5	1	0	1	0	0	2	2	0	3	0.67	1.27	0.67	0	0	1.5	7.083	7.500	11.283	0.000	0.000	12.167	0.75	0.85	0.85	0	0	0.95	1	1	1	0	0	1	
1503	3	5	1	0	1	0	0	2	2	0	3	0.74	2.03	0.54	0	0	2.1	7.500	6.667	14.667	0.000	0.000	14.917	0.9	0.75	0.75	0	0	0.99	1	1	1	0	0	1	
1504	2	5	1	1	2	2	2	1	2	0	2	1.3	1.78	0.64	2.5	0.92	1.25	7.000	8.500	10.167	4.850	11.750	11.667	0.85	0.75	0.75	0.85	0.85	0.99	1	1	1	1	1	1	
